colonia,precio_m2
Acacias,36066.0480854853
Actipan,36318.4982190561
Alamos,29277.351291184325
Americas Unidas,27363.001335707922
Ampliacion Napoles,27853.41050756901
Atenor Salas,30544.94078361531
Credito Constructor,30223.848619768472
Del Carmen,33101.09372217275
Del Valle Centro,38134.46126447016
Del Valle Norte,34745.070347284054
Del Valle Sur,38134.46126447016
Ermita,1478.0917186108636
Extremadura Insurgentes,31017.808103294745
Independencia,22852.075912733748
Insurgentes Mixcoac,42049.34505788067
Insurgentes San Borja,29744.87978628673
Letran Valle,26485.14603739982
Merced Gomez,24040.727070347282
Miravalle,29334.55298308103
Mixcoac,25587.079474621547
Moderna,27752.735529830807
Napoles,40418.334149599286
Narvarte Oriente,34755.747996438105
Narvarte Poniente,27199.78584149599
Nativitas,1491.0574354407834
Periodista,30168.55365093499
Piedad Narvarte,29814.284505788066
Portales Norte,2945.88713268032
Portales Sur,22839.110195903828
Postal,17840.06366874443
Residencial Emperadores,33300.53695458593
San Jose Insurgentes,31556.648040961707
San Juan,11872.401825467496
San Simon Ticumac,11928.078138913623
Santa Cruz Atoyac,40519.39047195013
Santa Maria Nonoalco,27118.178094390023
Tlacoquemecatl,33719.25333926981
Vertiz Narvarte,30304.69367764915
Xoco,35434.541406945675
