colonia,precio_m2
Acacias,33629.0106856634
Actipan,33864.402382012464
Alamos,27299.03639804096
Americas Unidas,25514.04196349065
Ampliacion Napoles,25971.313446126445
Atenor Salas,28480.97295191451
Credito Constructor,28181.57747105966
Del Carmen,30864.402771593945
Del Valle Centro,35557.65805877114
Del Valle Norte,32397.293410507566
Del Valle Sur,35557.65805877114
Ermita,1378.2148263579697
Extremadura Insurgentes,28921.887911843274
Independencia,21307.92659171861
Insurgentes Mixcoac,39208.007235084595
Insurgentes San Borja,27734.973285841494
Letran Valle,24695.504674977736
Merced Gomez,22416.258793410507
Miravalle,27352.372885129116
Mixcoac,23858.121827693678
Moderna,25877.44122885129
Napoles,37687.20619991095
Narvarte Oriente,32407.249554764025
Narvarte Poniente,25361.85518699911
Nativitas,1390.3044300979518
Periodista,28130.01886687444
Piedad Narvarte,27799.68822350846
Portales Norte,2746.8290850400713
Portales Sur,21295.836987978626
Postal,16634.583593054318
Residencial Emperadores,31050.369323241317
San Jose Insurgentes,29424.31762021371
San Juan,11070.16568343722
San Simon Ticumac,11122.079864203028
Santa Cruz Atoyac,37781.433993766695
Santa Maria Nonoalco,25285.761798753338
Tlacoquemecatl,31440.792408726622
Vertiz Narvarte,28256.959706144255
Xoco,33040.17586821015
