colonia,precio_m2
Acacias,43442.955031166515
Actipan,43747.0410173642
Alamos,35265.70619991095
Americas Unidas,32959.797361976845
Ampliacion Napoles,33550.5142475512
Atenor Salas,36792.566952359746
Credito Constructor,36405.79897595725
Del Carmen,39871.55239870881
Del Valle Centro,45934.43900267141
Del Valle Norte,41851.78606411398
Del Valle Sur,45934.43900267141
Ermita,1780.4188557435439
Extremadura Insurgentes,37362.15399599287
Independencia,27526.212572350843
Insurgentes Mixcoac,50650.06851068566
Insurgentes San Borja,35828.8624220837
Letran Valle,31902.386576135348
Merced Gomez,28957.98903606411
Miravalle,35334.60785841496
Mixcoac,30820.630537622437
Moderna,33429.24732858415
Napoles,48685.4525545414
Narvarte Oriente,41864.647707034725
Narvarte Poniente,32763.19796304541
Nativitas,1796.0365650044523
Periodista,36339.19403940338
Piedad Narvarte,35912.46310106856
Portales Norte,3548.4354129563667
Portales Sur,27510.594863089937
Postal,21489.04925422974
Residencial Emperadores,40111.789514692784
San Jose Insurgentes,38011.20761910062
San Juan,14300.76889470169
San Simon Ticumac,14367.833175645592
Santa Cruz Atoyac,48807.17881789848
Santa Maria Nonoalco,32664.898263579693
Tlacoquemecatl,40616.14965494211
Vertiz Narvarte,36503.17998664292
Xoco,42682.28072128227
